organization,work_area,name,latitude,longitude,depth,depth_source,watershid_id,lake_id,program
HAKAI,CALVERT,693 OUTLET,51.647923,-127.996399,,land,,,Watershed
HAKAI,CALVERT,693 PHOTIC,,,,,693,693,Watershed
HAKAI,CALVERT,693 RSL,,,,,,,Nearshore
HAKAI,CALVERT,693 SURFACE,,,,,,,Nearshore
HAKAI,CALVERT,693 THERMO,,,,,693,693,Watershed
HAKAI,CALVERT,693 US,,,,,693,693,Watershed
HAKAI,CALVERT,7,,,,,,,Projects
HAKAI,CALVERT,702009,,,,,,,Projects
HAKAI,CALVERT,703 1,,,,,,,Nearshore
HAKAI,CALVERT,703 2,,,,,,,Nearshore
HAKAI,CALVERT,703 3,,,,,,,Nearshore
HAKAI,CALVERT,703 4,,,,,,,Nearshore
HAKAI,CALVERT,703 5,,,,,,,Nearshore
HAKAI,CALVERT,703 5P,,,,,,,Nearshore
HAKAI,CALVERT,703 6,,,,,,,Nearshore
HAKAI,CALVERT,703 7,,,,,,,Nearshore
HAKAI,CALVERT,703 8,,,,,,,Nearshore
HAKAI,CALVERT,703 A,51.649639,-128.02578,,,,,Nearshore
HAKAI,CALVERT,703 A0,,,,,,,Nearshore
HAKAI,CALVERT,703 A1,,,,,,,Nearshore
HAKAI,CALVERT,703 B,51.649972,-128.02542,,,,,Nearshore
HAKAI,CALVERT,703 B0,,,,,,,Nearshore
HAKAI,CALVERT,703 B1,,,,,,,Nearshore
HAKAI,CALVERT,703 B5,,,,,,,Nearshore
HAKAI,CALVERT,703 BS,,,,,,,Nearshore
HAKAI,CALVERT,703 C,51.650544,-128.02575,,,,,Nearshore
HAKAI,CALVERT,703 C0,,,,,,,Nearshore
HAKAI,CALVERT,703 C1,,,,,,,Nearshore
HAKAI,CALVERT,703 C5,,,,,,,Nearshore
HAKAI,CALVERT,703 CO21,,,,,703,703,Watershed
